FID,Shape,OBJECTID,FID_Jornad,ecosite1,ecosite2,ecosite3,SUM_Shape_,FID_JER_Do,ZST_DOM,SUM_Shape1,Shape_Leng,Shape_Area
0,Polygon,1,1, , , ,3529.60461,4,FLCE,148208098,391.217013,3336.671042
1,Polygon,2,2,Bottomland,Limy,Salt Flats,35299777.56,4,FLCE,148208098,218610.961,23078462.14
2,Polygon,3,2,Bottomland,Limy,Salt Flats,35299777.56,8,LATR,48258118.32,67254.93296,5356144.773
3,Polygon,4,2,Bottomland,Limy,Salt Flats,35299777.56,9,PLMU,23276404.33,7667.576146,480036.0278
4,Polygon,5,2,Bottomland,Limy,Salt Flats,35299777.56,10,PRGL,152689064.2,674.4819,9931.223246
5,Polygon,6,2,Bottomland,Limy,Salt Flats,35299777.56,13,SCBR,47061723.42,25555.28671,2334578.644
6,Polygon,7,2,Bottomland,Limy,Salt Flats,35299777.56,14,SPORssp,679058.4573,3385.133351,336107.5291
7,Polygon,8,3,Clayey,Bottomland,Loamy,13244532.45,2,BOER,112464324.1,5686.531047,357639.1753
8,Polygon,9,3,Clayey,Bottomland,Loamy,13244532.45,3,EPHspp,740846.0034,2050.823532,99926.3085
9,Polygon,10,3,Clayey,Bottomland,Loamy,13244532.45,4,FLCE,148208098,15484.35312,4117839.357
10,Polygon,11,3,Clayey,Bottomland,Loamy,13244532.45,5,GUSA,35682572.12,391.739326,6629.310459
11,Polygon,12,3,Clayey,Bottomland,Loamy,13244532.45,6,HIMU,868768.2826,3858.099725,638008.9643
12,Polygon,13,3,Clayey,Bottomland,Loamy,13244532.45,7,HOFFspp,596936.4658,4200.581447,572573.6392
13,Polygon,14,3,Clayey,Bottomland,Loamy,13244532.45,9,PLMU,23276404.33,25854.48595,4266068.235
14,Polygon,15,3,Clayey,Bottomland,Loamy,13244532.45,10,PRGL,152689064.2,659.741944,18894.91591
15,Polygon,16,3,Clayey,Bottomland,Loamy,13244532.45,13,SCBR,47061723.42,23418.64679,2595585.403
16,Polygon,17,4,Deep sand, , ,2729747.304,10,PRGL,152689064.2,14377.07678,1950429.259
17,Polygon,18,5,Deep sand,Sandy,Shallow sandy,89212440.7,4,FLCE,148208098,65026.29046,18802572.37
18,Polygon,19,5,Deep sand,Sandy,Shallow sandy,89212440.7,5,GUSA,35682572.12,4430.075669,505609.7168
19,Polygon,20,5,Deep sand,Sandy,Shallow sandy,89212440.7,8,LATR,48258118.32,26221.40829,2063938.715
20,Polygon,21,5,Deep sand,Sandy,Shallow sandy,89212440.7,10,PRGL,152689064.2,121214.9504,59271936.61
21,Polygon,22,6,Deep sand,Shallow sandy, ,27251884.96,0,ARFI,1299656.061,3024.231736,439863.4068
22,Polygon,23,6,Deep sand,Shallow sandy, ,27251884.96,1,ARISTspp,33440736.65,18773.61517,3203787.431
23,Polygon,24,6,Deep sand,Shallow sandy, ,27251884.96,2,BOER,112464324.1,42994.16556,8476691.513
24,Polygon,25,6,Deep sand,Shallow sandy, ,27251884.96,5,GUSA,35682572.12,35344.51705,9193649.139
25,Polygon,26,6,Deep sand,Shallow sandy, ,27251884.96,10,PRGL,152689064.2,34720.59743,5890776.763
26,Polygon,27,7,Deep sand,Shallow sandy,Deep sand,16796.14723,2,BOER,112464324.1,776.241592,16796.14723
27,Polygon,28,8,Deep sand,Shallow sandy,Shallow sandy,490190.8801,2,BOER,112464324.1,5699.64462,288697.9363
28,Polygon,29,8,Deep sand,Shallow sandy,Shallow sandy,490190.8801,5,GUSA,35682572.12,2949.047254,87812.80581
29,Polygon,30,8,Deep sand,Shallow sandy,Shallow sandy,490190.8801,10,PRGL,152689064.2,2657.984616,113680.1378
30,Polygon,31,9,Draw,No ecosite, ,176357.8203,4,FLCE,148208098,16.349439,10.92996
31,Polygon,32,10,Draw,No ecosite, ,5763852.348,4,FLCE,148208098,8012.741579,232993.1768
32,Polygon,33,10,Draw,No ecosite, ,5763852.348,8,LATR,48258118.32,5010.783321,145565.93
33,Polygon,34,10,Draw,No ecosite, ,5763852.348,10,PRGL,152689064.2,40950.66123,2165572.752
34,Polygon,35,10,Draw,No ecosite, ,5763852.348,13,SCBR,47061723.42,398.113947,9718.454645
35,Polygon,36,11,Draw,Shallow sandy, ,151870.5168,4,FLCE,148208098,5526.765664,151870.5168
36,Polygon,37,12,Gravelly, , ,13255713.34,4,FLCE,148208098,1932.263737,146890.9683
37,Polygon,38,12,Gravelly, , ,13255713.34,8,LATR,48258118.32,4423.00216,425903.3016
38,Polygon,39,12,Gravelly, , ,13255713.34,10,PRGL,152689064.2,7190.578069,368962.1833
39,Polygon,40,13,Gravelly,Loamy, ,25616949.89,4,FLCE,148208098,54740.50375,6534377.275
40,Polygon,41,13,Gravelly,Loamy, ,25616949.89,8,LATR,48258118.32,30565.60978,6468497.888
41,Polygon,42,13,Gravelly,Loamy, ,25616949.89,9,PLMU,23276404.33,3904.223523,297588.5315
42,Polygon,43,13,Gravelly,Loamy, ,25616949.89,13,SCBR,47061723.42,9017.05215,722370.5933
43,Polygon,44,13,Gravelly,Loamy, ,25616949.89,14,SPORssp,679058.4573,3364.986503,271196.7968
44,Polygon,45,14,Gravelly,No ecosite, ,3691543.348,4,FLCE,148208098,2558.661361,106722.2782
45,Polygon,46,14,Gravelly,No ecosite, ,3691543.348,8,LATR,48258118.32,644.591431,14409.47243
46,Polygon,47,15,Gravelly,Shallow sandy, ,145211.3922,4,FLCE,148208098,3694.271366,52565.68401
47,Polygon,48,15,Gravelly,Shallow sandy, ,145211.3922,8,LATR,48258118.32,70.809762,204.397711
48,Polygon,49,16,Gravelly,Shallow sandy, ,10817908.26,2,BOER,112464324.1,10502.43647,1468246.328
49,Polygon,50,16,Gravelly,Shallow sandy, ,10817908.26,4,FLCE,148208098,35739.86727,3955290.425
50,Polygon,51,16,Gravelly,Shallow sandy, ,10817908.26,8,LATR,48258118.32,21845.10979,4126654.576
51,Polygon,52,16,Gravelly,Shallow sandy, ,10817908.26,9,PLMU,23276404.33,1099.923529,71347.82843
52,Polygon,53,16,Gravelly,Shallow sandy, ,10817908.26,14,SPORssp,679058.4573,980.401216,33855.43222
53,Polygon,54,18,Limestone hills,No ecosite, ,125520706.8,4,FLCE,148208098,11555.33106,1409245.876
54,Polygon,55,18,Limestone hills,No ecosite, ,125520706.8,5,GUSA,35682572.12,1188.399233,47994.91033
55,Polygon,56,18,Limestone hills,No ecosite, ,125520706.8,8,LATR,48258118.32,5357.729745,351447.8748
56,Polygon,57,18,Limestone hills,No ecosite, ,125520706.8,10,PRGL,152689064.2,18199.42765,1260193.303
57,Polygon,58,19,Loamy, , ,15362815.09,4,FLCE,148208098,120739.5423,13454662.08
58,Polygon,59,19,Loamy, , ,15362815.09,8,LATR,48258118.32,39053.31381,1542801.459
59,Polygon,60,19,Loamy, , ,15362815.09,9,PLMU,23276404.33,222.400939,1032.328286
60,Polygon,61,19,Loamy, , ,15362815.09,13,SCBR,47061723.42,6448.003282,291918.9073
61,Polygon,62,20,Rock land, , ,738872.7837,2,BOER,112464324.1,2759.123621,356266.9459
62,Polygon,63,20,Rock land, , ,738872.7837,8,LATR,48258118.32,5531.584746,382605.837
63,Polygon,64,22,Sandy, , ,326489.6776,1,ARISTspp,33440736.65,1684.317469,60840.37977
64,Polygon,65,22,Sandy, , ,326489.6776,2,BOER,112464324.1,3558.176798,241768.9809
65,Polygon,66,22,Sandy, , ,326489.6776,9,PLMU,23276404.33,1423.981949,23880.31787
66,Polygon,67,23,Sandy, , ,3315708.291,4,FLCE,148208098,20401.36855,3126776.663
67,Polygon,68,23,Sandy, , ,3315708.291,8,LATR,48258118.32,3915.665219,182753.6419
68,Polygon,69,23,Sandy, , ,3315708.291,13,SCBR,47061723.42,335.816784,6177.983671
69,Polygon,70,24,Sandy,Deep sand, ,151764991,0,ARFI,1299656.061,3963.200951,859792.6558
70,Polygon,71,24,Sandy,Deep sand, ,151764991,1,ARISTspp,33440736.65,33293.14439,5329170.035
71,Polygon,72,24,Sandy,Deep sand, ,151764991,2,BOER,112464324.1,133367.0841,37004583.55
72,Polygon,73,24,Sandy,Deep sand, ,151764991,4,FLCE,148208098,48233.36337,8301035.686
73,Polygon,74,24,Sandy,Deep sand, ,151764991,5,GUSA,35682572.12,100273.7401,15198242.2
74,Polygon,75,24,Sandy,Deep sand, ,151764991,7,HOFFspp,596936.4658,1076.973719,24362.82573
75,Polygon,76,24,Sandy,Deep sand, ,151764991,8,LATR,48258118.32,24328.02721,4088053.355
76,Polygon,77,24,Sandy,Deep sand, ,151764991,9,PLMU,23276404.33,35099.64209,3653936.123
77,Polygon,78,24,Sandy,Deep sand, ,151764991,10,PRGL,152689064.2,157376.4821,65068283.01
78,Polygon,79,24,Sandy,Deep sand, ,151764991,12,PSSC,4169963.254,11784.99511,2180231.035
79,Polygon,80,24,Sandy,Deep sand, ,151764991,13,SCBR,47061723.42,61800.42499,7606600.511
80,Polygon,81,25,Sandy,Deep sand,Shallow sandy,36229137.91,1,ARISTspp,33440736.65,33134.84026,5207514.172
81,Polygon,82,25,Sandy,Deep sand,Shallow sandy,36229137.91,2,BOER,112464324.1,67198.59531,15560553.15
82,Polygon,83,25,Sandy,Deep sand,Shallow sandy,36229137.91,5,GUSA,35682572.12,38352.94021,4980007.743
83,Polygon,84,25,Sandy,Deep sand,Shallow sandy,36229137.91,9,PLMU,23276404.33,1741.545931,66019.17027
84,Polygon,85,25,Sandy,Deep sand,Shallow sandy,36229137.91,10,PRGL,152689064.2,22900.2213,7462124.692
85,Polygon,86,25,Sandy,Deep sand,Shallow sandy,36229137.91,13,SCBR,47061723.42,6799.459499,545132.0186
86,Polygon,87,26,Sandy,Loamy,Clayey,6504750.434,4,FLCE,148208098,14641.85867,5893966.465
87,Polygon,88,26,Sandy,Loamy,Clayey,6504750.434,6,HIMU,868768.2826,2900.561903,229934.6338
88,Polygon,89,26,Sandy,Loamy,Clayey,6504750.434,8,LATR,48258118.32,2182.570997,99245.697
89,Polygon,90,27,Sandy,Loamy,Deep sand,154795964.8,1,ARISTspp,33440736.65,44762.77143,11744988.42
90,Polygon,91,27,Sandy,Loamy,Deep sand,154795964.8,2,BOER,112464324.1,105195.6555,20433651.18
91,Polygon,92,27,Sandy,Loamy,Deep sand,154795964.8,3,EPHspp,740846.0034,4254.390901,640919.695
92,Polygon,93,27,Sandy,Loamy,Deep sand,154795964.8,4,FLCE,148208098,162543.4271,57726698.56
93,Polygon,94,27,Sandy,Loamy,Deep sand,154795964.8,5,GUSA,35682572.12,38166.14531,5135584.735
94,Polygon,95,27,Sandy,Loamy,Deep sand,154795964.8,8,LATR,48258118.32,25254.87334,3437239.113
95,Polygon,96,27,Sandy,Loamy,Deep sand,154795964.8,9,PLMU,23276404.33,76522.51409,14416495.76
96,Polygon,97,27,Sandy,Loamy,Deep sand,154795964.8,10,PRGL,152689064.2,64665.23476,6754969.106
97,Polygon,98,27,Sandy,Loamy,Deep sand,154795964.8,11,PRGL.,57880.57273,974.96988,57880.57273
98,Polygon,99,27,Sandy,Loamy,Deep sand,154795964.8,12,PSSC,4169963.254,7790.216221,1989732.217
99,Polygon,100,27,Sandy,Loamy,Deep sand,154795964.8,13,SCBR,47061723.42,176426.7115,31705355.12
100,Polygon,101,27,Sandy,Loamy,Deep sand,154795964.8,14,SPORssp,679058.4573,906.620741,37898.69845
101,Polygon,102,28,Sandy,Shallow sandy, ,15174053.53,1,ARISTspp,33440736.65,5428.765011,709090.8443
102,Polygon,103,28,Sandy,Shallow sandy, ,15174053.53,2,BOER,112464324.1,45694.6281,12887927.94
103,Polygon,104,28,Sandy,Shallow sandy, ,15174053.53,4,FLCE,148208098,2809.068477,217952.0491
104,Polygon,105,28,Sandy,Shallow sandy, ,15174053.53,10,PRGL,152689064.2,3173.013906,121736.796
105,Polygon,106,28,Sandy,Shallow sandy, ,15174053.53,13,SCBR,47061723.42,6964.666434,889478.6889
106,Polygon,107,30,Shallow sandy,Deep sand, ,7013.853676,5,GUSA,35682572.12,396.174126,6505.920089
107,Polygon,108,30,Shallow sandy,Deep sand, ,7013.853676,10,PRGL,152689064.2,136.246833,507.933513
108,Polygon,109,31,Shallow sandy,Sandy, ,25419663.04,1,ARISTspp,33440736.65,34037.35437,7185345.309
109,Polygon,110,31,Shallow sandy,Sandy, ,25419663.04,2,BOER,112464324.1,51481.2115,14621977.84
110,Polygon,111,31,Shallow sandy,Sandy, ,25419663.04,5,GUSA,35682572.12,6281.583794,519328.2315
111,Polygon,112,31,Shallow sandy,Sandy, ,25419663.04,10,PRGL,152689064.2,16559.28247,2231065.471
